Ship,Flag
USS Patrol No. 1,United States Navy
Queen of Nassau,United States
USS R-12,United States Navy
USS S-16 (SS-121),United States Navy
San Felipe,Spain
San Francisco,Spain
San Jose,Spain
Santa Margarita,Spain
USS Saufley (DD-465),United States Navy
USS Sea Hawk,United States Navy
USS Spiegel Grove (LSD-32),United States Navy
USS St. Sebastian,United States Navy
USS Sturtevant (DD-240),United States Navy
USS Sylvia,United States Navy
Sueco de Arizon,Spain
Tres Puentes,Spain
HMS Tyger,Royal Navy
U-2513,United States Navy
SS Valbanera,Spain
USS Wilkes-Barre (CL-103),United States Navy
USS Ozark (LSV-2),United States Navy
Amaryllis,Panama
Inverrosa,United Kingdom
SS Inchulva,United Kingdom
Lofthus,Norway
Lubrafol,Panama
SS Ohioan,United States
USCGC Blackthorn (WLB-391),United States Coast Guard
Antonio Ensenat,Cuba
Bay Ronto,United Kingdom
Zalophus,United States
USS Basilone,United States Navy
Industry,Kingdom of Great Britain
USC&GS Isis,United States
Urca de Lima,Spain
27°21′N 80°04′W﻿ / ﻿27.350°N 80.067°W﻿ / 27.350; -80.067﻿ (SS Amazone),SS Halsey
A.B. Noyes,United States
SS Commodore,United States
USS Mindanao (ARG-3),United States Navy
Nathan F. Cobb,United States
115,United States
Arlington,Canada
Bannockburn,Canada
Alvin Clark,
America,
SS Anna C. Minch,United States
SS Appomattox,United States
SS Australasia,United States
SS Carl D. Bradley,United States
SS Chicora,United States
Christina Nilsson,
City of Muskegon,United States
Continental,
Dreadnaught,
SS Eber Ward,United States
Erie L. Hackley,United States
SS Eastland,United States
SS Francisco Morazan,Liberia
Gallinipper,United States
General Winfield Scott,United States
George W. Morley,
Green Bay,
Grace Channon,United States
Hennepin,
SS Henry Cort,United States
Home,United States
Iris,United States
Lady Elgin,United States
SS Lakeland,United States
L.R. Doty,United States
Lumberman,
Meridian,United States
SS Milwaukee,United States
Mount Vernon,
Northerner,United States
Ocean Wave,United States
SS Pere Marquette 18,United States
R. J. Hackett,United States
Robert C. Pringle,United States
Rosinco,United States
Rouse Simmons,United States
Silver Spray,
Thomas Hume,
SS Toledo,United States
Sydney C. McLouth,
SM UC-97,Imperial German Navy
SS Selah Chamberlain,United States
SS Walter L. Frost,
1854,"Wreck was discovered in 2010 in Platte Bay, near Traverse City, Michigan.[25]"
11-Nov-40,Sank near Pentwater in the Armistice Day Blizzard.
28 October 1892,The Gilcher was a steel-hulled freighter that went missing on Lake Michigan on 28 October 1892.
17 Fathom wreck,
Admiral,
Adventure,
SS Algeria,
Alva B.,
Angler,
Atlantic,United States
Arches,
Aycliffe Hall,
Bay Coal Schooner,
Black Duck,
Bow Cabin,
British Lion,
Brown Brothers,
Brunswick,
Canobie,
Carlingford,
Cascade,
Case,
C.B. Benson,
C.B. Lockwood,
Cecil J.,
Charger,
Charles B. Packard,
Charles H. Davis,
City of Concord,
City of Dresden,
Clarion,
Cleveco,
Colonel Cook,
Colonial,
Conemaugh,
Craftsman,
David Stewart,
David Vance,
Dundee,
Dunkirk Schooner Site,Unknown
Duke Luedtke,
Edmund Fitzgerald,United States
Elize A. Turner,
Elphicke,
Empire,
Erie,United States
Erieau Quarry Stone,
F.A. Meyer,
Fanny L. Jones,
Frank E. Vigor,
George Dunbar,
George Stone,
George Worthington,
SS G. P. Griffith,
Grand Traverse,
H.A. Barr,
Henry Roop,United States
H.G. Cleveland,
Hickory Stick,
Idaho,
Isabella J. Boyce,
Ivanhoe,
James B. Colgate,United States
James J. Reed,
Jay Gould,
Jennie P. King,
Jersey City,
J.G. McGrath,
J.J. Boland Jr.,
John B. Griffin,
John B. Lyon,
John Pridgeon Jr.,
Jorge B.,
Joseph Paige,
Lawrence,
Lake Serpent,
Little Wissahickon,
Lycoming,
Mabel Wilson,
Madiera,
Magnetic,
Margaret Olwill,United States
Marquette & Bessemer No. 2,
Marshall F. Butters,
Mecosta,
M.J. Wilcox,
Morning Star,United States
Mystic,
New Brunswick,
Northern Indiana,
Paddy Murphy,
Pascal P. Pratt,
Passaic,
Penelope,
Philip Minch,
Pocahontas,
Queen of the West,
Raleigh,
Rebecca Foster,
Robert,
S.F. Gale,
St. James,
Sand Merchant,
Sarah E. Sheldon,
Siberia,
Smith,
Specular,
Sultan,
T-8,
Tasmania,
Tire Reef,
Trade Wind,
Tug Smith,
Two Fannies,
Valentine,
Washington Irving,
Wild Rover,
William H. Vanderbilt,
Willis,
Wilma,
Wocoken,
Young Phoenix,
Milan,
James H. Shrigley Coal,
Undine,
Laura Grace,
Unidentified Wreck,Unknown
Twin Unidentified Wrecks,Unknown
Henry Roney,
US Coast Guard Boat 56022,United States Coast Guard
Perseverance,
Saint Peter,
Orcadian,
Etta Belle,
The Porter,
Congercoal,
David W. Mills,
Mary Kay,
Cormorant,
Robert Bruce,
Cortez,
Hartford,
Ariadne,
William Elgin,
The T. J. Waffle,
Dagger-board,
City of New York,
Onandaga,
Wisconsin,
Hiawatha,
H. B.,
Menominee,
Old Steamer,
North Star,
American,
J.W. Langmuir,
S.S. Ellsworth,
House Boat,
Alberta,
Aloha,
Annie Falconer,Canada
Augustus,
Bay State,
Belle Sheridan,
China,
City of Sheboygan,
Comet,
Cornwall,
Dominion,
Dredge Islander,
Dupont Salvage Scow,
Effie Mae,
Empress,
Frontenac,
George A. Marsh,Canada
George T Davie,
Glendora,
USS Hamilton,United States Navy
Katie Eccles,
KPH Wreck,
Londonderry,
Maple Glen,
Marine Museum 2,
Mark One,
Monkey Wrench,
Munson,
Nisbet Grammer,United Kingdom
SS Noronic,Canada
Olive Branch,
Oliver Mowat,
HMS Ontario,Royal Navy
St. Peter,
Queen Mary,
R.H. Rae,
Ricky's Tug,
Ridgetown,United States
HMS St Lawrence,Royal Navy
S.M. Douglas,
HMS Speedy,Royal Navy
USS Sylph,United States Navy
Terry's Tug,
HMS Toronto,Royal Navy
Waterlily,
William Jamieson,
William Johnston,
HMS Wolfe (later HMS Montreal),Royal Navy
Wolfe Islander II,Canada
24-Sep-58,10-Nov-75
639,Self-unloading Bulk carrier
"The William C. Moreland was a Great Lakes bulk carrier that ran aground due to poor visibility on Sawtooth Reef, Lake Superior.",
1907,6-Nov-18
552,Lake freighter
"The Henry B. Smith was an American bulk freighter that foundered in the Great Lakes Storm of 1913 near Marquette, Michigan. Her wreck was discovered in 2013 by a team of divers led by Jerry Eliason.",46°54′50″N 87°19′59″W﻿ / ﻿46.914°N 87.333°W﻿ / 46.914; -87.333﻿ (SS Henry B. Smith)
524,Lake freighter
Alva,
Aransas,
USS Bancroft,United States Navy
Dixie Sword,
Emmy Rose,
General Greene,United States Coast Guard
Horatio Hall,
James Longstreet,United States
Kate Harding,
Angela,
City of Taunton,United States
Colonel William B. Cowin,
Hilda Garston,
USS Yankee,United States Navy
Ardandhu,
SS City of Columbus,United States
Dynafuel,United States
Herman Winter,
John S. Dwight,
Leonardo,
Mertie B. Crowley,
Nantucket,United States
USS Valor,United States Navy
Ada K. Damon,United States
USS Albert Gallatin,United States Navy
Alice M. Colburn,
Alma A. E. Holmes,United States
California,
Charles S. Haight,
Chelsea,
Chester A. Poling,
Edward Rich,
Ellenora Van Dusen,
Frank A. Palmer,United States
USS Grouse,United States Navy
Herbert,
Jennie M. Carter,
Joffre,United States
Lamartine,United States
Louise B. Crary,United States
Monohansett,United States
USS New Hampshire,United States Navy
USS Nezinscot,United States Navy
Nina T,
Northern Voyager,
Portland,United States
Alice M. Lawrence,
MV Argo Merchant,Liberia
Unnamed crane barge,
Edward E. Briry,
Fort Mercer,
French Van Gilder,
Jennie French Potter,
Kershaw,
LV-117,United States
LV-58,United States
SS North American,United States
"Coords = off Chicago, Lake Michigan. (?)",Pemberton
41°30′59″N 70°37′41″W﻿ / ﻿41.51639°N 70.62806°W﻿ / 41.51639; -70.62806﻿ (Pemberton),RawFaith
40°09′N 69°44′W﻿ / ﻿40.150°N 69.733°W﻿ / 40.150; -69.733﻿ (German submarine U-550),RMS Republic
40°26′03″N 69°46′0″W﻿ / ﻿40.43417°N 69.76667°W﻿ / 40.43417; -69.76667﻿ (RMS Republic),SS Andrea Doria
Ann,United States
Ceres,
Columbia,
Baleen,
City of Salisbury,
Coyote,
Davis Palmer,
Kiowa,
Mary E. O'Hara,
Maritana,United States
USS Aeolus,United States Navy
SS Allan Jackson,United States
Altoona,
MV Amerikaland,Sweden
CSS Appomattox,Confederate States Navy
SS Ario,
SS Ashkhabad,Soviet Union
SS Arabutan,Brazil
USS Aster,United States Navy
USS Atik,United States Navy
Atlas,United States
MV Australia,United States
USS Bainbridge,United States Navy
USS Bazely,United States Navy
HMT Bedfordshire,Royal Navy
USCGC Bedloe,United States Coast Guard
CSS Bendigo,Confederate States Navy
CSS Black Warrior,Confederate States Navy
MV Bluefields,Nicaragua
Bounty,United States
British Splendour,United Kingdom
SS Buarque,Brazil
SS Byron D. Benson,
Carroll A. Deering,United States
SS Caribsea,
SS Carl Gerhard,
SS Cassimer,
SV Catherine M. Monahan,
SS Central America,United States
SS Chilore,
USS Chopper,United States Navy
SS Ciltvaira,Latvia
City of Atlanta,United States
City of Houston,United States
USS Columbia,United States Navy
USS Comte de Grasse,United States Navy
CSS Curlew,Confederate States Navy
USS Cythera,United States Navy
USS Dionysus,United States Navy
SS Dixie Arrow,United States
CSS Ellis,Confederate States Navy
SS E.M. Clark,United States
Empire Gem,United Kingdom
Empire Thrush,
SS Equipoise,Panama
Esso Nashville,United States
Explorer (tugboat),
CSS Fanny,Confederate States Navy
CSS Forrest,Confederate States Navy
SS F.W. Abrams,United States
Fenwick Island,
Francis E. Waters,
G.A. Kohler,
General E. L. F. Hardcastle,
George E. Klinck,United States
SS George Weems,
SS Glanayron,United Kingdom
Governor Ames,United States
Gray Ghost,
SV Helen H. Benedict,
Hereford,Norway
SS Hesperides,United Kingdom
SS Home,United States
USS Home,United States
USS Huron,United States
USS Indra,United States Navy
USS Iron Age,United States Navy
SS Isle of Iona,United Kingdom
USCGC Jackson,United States Coast Guard
John D. Gill,
John Hunter,
SS Kassandra Louloudis,Greece
SS Kentucky,United States
USS Keshena,United States Navy
MV Koll,Norway
Kyzickes,
SS Lancing,Norway
Laura A. Barnes,
Liberator,
SS Ljubica Matkovic,Yugoslavia
Lois Joyce,
USS Louisiana,United States Navy
USS Mahackemo,United States Navy
SS Malchace,United States
SS Manuela,United States
USS Margaret,United States Navy
SS Marlin,Liberia
SS Marore,
SS Merak,United States
Metropolis,
SS Mirlo,
SS Modern Greece,
USS Monitor,United States Navy
SS Naeco,
CSS Neuse,Confederate States Navy
USS New Jersey,United States Navy
SS Nordal,Panama
SS Normannia,
SS Northeastern,United States
SS Norvana,United States
CSS North Carolina,Confederate States Navy
SS Olympic,Panama
SS Oriental,
USS Otsego,United States Navy
SS Papoose,United States
USS Peterhoff,United States Navy
Pevensey,Confederate States of America
SS Phantom,Confederate States of America
USS Pilgrim,United States
Porta Allegra,
SS Proteus,
Pulaski,United States
Queen Anne's Revenge,Pirate
CSS Raleigh,Confederate States Navy
El Salvador,Spain
SS San Delfino,United Kingdom
SS Santiago,United States
USS Schurz,United States Navy
CSS Sea Bird,Confederate States Navy
HMT Senateur Duhamel,Royal Navy
USS South Wind,United States Navy
MV Southern Isles,United States
USS Southfield,United States Navy
USCGC Spar,United States Coast Guard
HMCS St. Laurent,Canadian Maritime Forces
SS Strathairly,
SS Stormy Petrel,
Suloide,Brazil
SS Tamaulipas,United States
USS Tarpon,United States Navy
SS Theodore Parker,
USS Tiru,United States Navy
U-352,Kriegsmarine
U-576,Kriegsmarine
U-701,Kriegsmarine
U-85,Kriegsmarine
SS Ulysses,United Kingdom
USS Underwriter,United States Navy
Valour,United States
SS Venore,United States
SS Veturia,United Kingdom
USS Virginia,United States Navy
SS W.E. Hutton,United States
SS West Ivis,United States
EM[a] Wilcox,
SS William Rockefeller,United States
USS Yancey,United States Navy
SS York,
SS Zane Gray,United States
Santo Cristo de Burgos,Spain
SS General Warren,United States
Detroit,
Brant,
Millie Bond,
Lupatia,
Kate L. Heron,
Pilots Bride,
Carmarthen Castle,
Queen of the Bay,
Garcia,
Occident,
Lila and Mattie,
Laguna,
Pioneer,
Charles H. Merchant,
Gem,
Peter Iredale,United Kingdom
Gerald C.,
Antelope,
Emily Reed,United States
Hill,
Ida Schnauer,
Argo #1,
Vida,
George R. Vosberg,
C.T. Hill,
Mimi,
Glenesslin,
Francis H. Leggett,United States
Oakland,
Life-Line,United States
Venus,
Sea Island,
Tyee,
Samuel Roberts,
Bostonian,
Almira,
Juliet,
Nassau,
Roanoke,
Joseph Warren,
Fawn,
Calumet,
Blanco,
Cornelia Terry,
Ork,
Annie G. Doyle,
Meldon,
Bobolink,
Sparrow,
Lizzie,
Caroline Medeau,
Phil Sheridan,
Olivia Schultze,
Tacoma,
Phoebe Fay,
Ona,
Beda,
Emma Utter,
Yaquina City,
Yaquina Bay,United States
Alaskan,United States
Fearless,
Struan,
Maggie Ross,
St. Charles,
Mary Gilbert,
Bandorville,
Volante,
Truckee,
Atalanta,
Nettie Sundberg,
Charles Nelson,
Ocean Spray,
Alice Kimball,
Quickstep,
Bella,
Berwick,
J. Marhoffer,United States
Wilhelmina,
Pilgram,
Condor,
Frederick,
Hugh Hogan,
Graywood,
Anvil,
Washtucna,
Admiral Nicholson,
G.C. Lindauer,
Yaquina,
Parker #2,
Dorothy Joan,
Etta Kay,
John Aspin,
Helori,
L.H. Coolidge,
Captain Ludvig,
Blue Magpie,Panama
New Carissa,Philippines
Bandon,
Cohansa,
Echo,
Jackson,
New World,
W.L. Hackstaff,
Captain Lincoln,
Anita,
Chansey,
Quadratus,
Baltimore,
Cyclops,
Energy,
Noyo,
D.M. Hall,
Alaska,
Ida D. Rogers,
Commodore,
Charles Devans,
Bunkalation,
Jenny Thelin,
Laura May,
Northwester,
Mary Schowner,
Messenger,
Harriet Rose,
Perpetua,
Oregonian,
Esther Colos,
Gussie Telfair,
Mose,
Escort,
Dawn,
Ocean King,
Julia H. Ray,
Parkersburg,
Rosalind,
Express,
Charles W. Wetmore,United States
Emily,
T.W. Lucas,
Bawnmore,
Ella Laurena,
Arago,
Cyclone,
Moro,
Monterey,
South Portland,
Fulton,
Western Home,
Del Norte,
Onward,
Melanope,
Daisy,
Chinook,
Novelty,
Marconi,
Czarina,
San Buenaventura,
Washcalore,
North Star #1,
Osprey,
Advent,
Randolph,
Claremont,
Santa Clara,
Fifield,
Sinaloa,
Wallacut,
Rustler,
J. A. Chanslor,United States
Adel,
Joan of Arc,
Ozmo,
Sea Eagle,
Brush,
C.A. Smith,
Acme,
Mary E. Moore,
Sujameco,
Fort Bragg,
E. L. Smith,
Golden West,
Golden Bear,
Cottoneva,
Willapa #2,
Camden,
Larry Doheny,
Susan Olson,
Y M S #133,
George L. Olson,
Alvarado,
Ida M.,
Alice H.,
Helen E.,
Cynthia Olson,
Oliver Olson,
Port of Pasco #510,
Andrew Jackson,
Bully Washington,
Scottsburg,Telephone
Multnomah Channel / Willamette River,Scappoose
"A steamship that was wrecked on the rocks.  The 160 passengers and most of the freight were landed on the Oregon shore.[23]  Towed in to drydock at Cascade Locks around September 1.  The hull was found to be a ""complete wreck.""[24]",Columbia River
11-Jun-00,Tore hole in bottom and sank in ten feet of water.[25] Steamship
Welcome,
ARA Comodoro Py,Argentine Navy
Crown of Italy,United Kingdom
Desdemona,
Duchess of Albany,
ARA General Belgrano,Argentine Navy
Potosi,Chile
Sarmiento,
St. Christopher,Costa Rica
Usurbil,
Aquidabã,Brazil Navy
Bezerra de Menezes,
Campos,
SMS Cap Trafalgar,German Empire
Elihu B. Washburne,
Kapunda,United Kingdom
Kestrel,United Kingdom
RMS Magdalena,United Kingdom
Novo Amapa,
Pinguino,
Príncipe de Asturias,Spain
Sir Foxwell Buxton,United Kingdom
Sobral Santos II,Brazil
Stag Hound,United States
Tocantins,
U-128,Kriegsmarine
Almirante Latorre,Chilean Navy
Ambassador,United Kingdom
Angamos,Chile
Blanco Encalada,Chilean Navy
Casma,Chilean Navy
Cazador,Chilean Navy
HMS Challenger,Royal Navy
County of Peebles,Chile
HMS Doterel,Royal Navy
El Canelo,
Esmeralda,Chilean Navy
ARA Fournier,Argentine Navy
HMS Good Hope,Royal Navy
ARA Guaraní,Argentine Navy
Independencia,Peruvian Navy
Janequeo,Chilean Navy
John Elder,
Kate Kellok[13],
Logos,
BAP Manco Cápac,Peruvian Navy
HMS Monmouth,Royal Navy
Monteagudo,Chile
O'Higgins,Argentine Navy
Olympian,United States
Oriflamme,Spain
Sancti Espiritus,Spain
Santa Leonor,United States
HMS Wager,Royal Navy
Jesus Maria de la Limpia Concepcion,Spain
Santa Maria de la Consolacion,Spain
HMS Antelope,Royal Navy
HMS Ardent,Royal Navy
HMS Coventry,Royal Navy
ARA Isla de los Estados,Argentine Navy
Ann Alexander,United States
Jessica,Ecuador
Adresito,
Covadonga,Chile
La Chachita,
Santa Elena,
Admiral Graf Spee,Kriegsmarine
HMS Agamemnon,Royal Navy
Sesostris,Nazi Germany
Aikoku Maru,Imperial Japanese Navy
Fujikawa Maru,Imperial Japanese Navy
Fumizuki,Imperial Japanese Navy
Heian Maru,Imperial Japanese Navy
Sankisan Maru,Empire of Japan
Shinkoko Maru,Empire of Japan
I-169,Imperial Japanese Navy
Tachikaze,Imperial Japanese Navy
Umikaze,Imperial Japanese Navy
Amatsu Maru,Empire of Japan
Bichu Maru,Empire of Japan
Chuyo Maru,Imperial Japanese Army
Gozan Maru,Imperial Japanese Army
Irō,Imperial Japanese Navy
Kamikaze Maru,Imperial Japanese Navy
Kibi Maru,Imperial Japanese Navy
Nagisan Maru,Imperial Japanese Navy
USS Perry,United States Navy
Raizan Maru,Imperial Japanese Army
Ryuko Maru,Imperial Japanese Navy
Samidare,Imperial Japanese Navy
Sata,Imperial Japanese Navy
Teshio Maru,Imperial Japanese Navy
Urakami Maru,Imperial Japanese Navy
Wakatake,Imperial Japanese Navy
SMS Planet,German Empire
MV Senopati Nusantara,Indonesia
MV Levina 1,Indonesia
SS Norwich City,United Kingdom
Canton,United States
Golden Sunset,United Kingdom
President Taylor,United States Army
USS Anderson,United States Navy
USS Apogon,United States Navy
USS Arkansas,United States Navy
USS Barrow,United States Navy
USS Carlisle,United States Navy
USS Gilliam,United States Navy
SS Kembu Maru,Empire of Japan
USS Lamson,United States Navy
USS LST-545,United States Navy
USS LST-661,United States Navy
Nagato,Imperial Japanese Navy
USS Pennsylvania,United States Navy
USS Pilotfish,United States Navy
Prinz Eugen,Kriegsmarine
Sakawa,United States Navy
USS Saratoga,United States Navy
Toreshima Maru,Imperial Japanese Navy
Anjou,France
TSS Arahura,New Zealand
Boyd,United Kingdom
HMS Buffalo,Royal Navy
HMNZS Canterbury,Royal New Zealand Navy
Cowan,New Zealand
Darra,New Zealand
Derry Castle,United Kingdom
Dundonald,United Kingdom
SS Elingamite,Australia
England's Glory,United Kingdom
Endeavour II,Canada
General Grant,United States
Holmbank,New Zealand
MV Holmglen,New Zealand
Hydrabad,United Kingdom
MV Kaitawa,New Zealand
MS Mikhail Lermontov,Soviet Union
RMS Niagara,United Kingdom
HMS Orpheus,Royal Navy
SS Penguin,New Zealand
SS Port Kembla,New Zealand
HMNZS Puriri,Royal New Zealand Navy
Queen Bee,United Kingdom
Rainbow Warrior,Netherlands
MV Rena,Liberia
HMS Sandfly,Royal Navy
Sydney Packet,Australia
SS Tararua,New Zealand
HMS Torch,Royal Navy
Torrington,Australia
HMNZS Tui,Royal New Zealand Navy
SS Victory,United Kingdom
Wahine,New Zealand
HMNZS Waikato,Royal New Zealand Navy
SS Wairarapa,New Zealand
HMNZS Wellington,Royal New Zealand Navy
William and John,New Zealand
USS Brownson,United States Navy
HMAS Geelong,Royal Australian Navy
Hakaze,Imperial Japanese Navy
SS Kyokusei Maru,Imperial Japanese Army
MV Macdhui,United Kingdom
Mikazuki,Imperial Japanese Navy
USS Mount Hood,United States Navy
SS Pruth,United Kingdom
Ro-33,Imperial Japanese Navy
USS S-39,United States Navy
Tenryū,Imperial Japanese Navy
W-26,Imperial Japanese Navy
Yūgiri,Imperial Japanese Navy
Staghound,British Australian colony
SMS Adler,Imperial German Navy
SMS Eber,Imperial German Navy
USS Trenton,United States Navy
Wild Wave,
Cornwallis,
Khandeish,
Acadia,
Oregon,
Bowdon,
Lady of St Kilda,United Kingdom
USS Chicago,United States Navy
USS Helena,United States Navy
Jintsu,Imperial Japanese Navy
USS Juneau,United States Navy
Ro-34,Imperial Japanese Navy
Yūgumo,Imperial Japanese Navy
Yura,Imperial Japanese Navy
USS Aaron Ward,United States Navy
Akatsuki,Imperial Japanese Navy
USS Astoria,United States Navy
Ayanami,Imperial Japanese Navy
USS Barton,United States Navy
HMAS Canberra,Royal Australian Navy
USS Colhoun,United States Navy
USS Cushing,United States Navy
USS De Haven,United States Navy
USS Duncan,United States Navy
Fubuki,Imperial Japanese Navy
Furutaka,Imperial Japanese Navy
USS George F. Elliott,United States Navy
Hiei,Imperial Japanese Navy
Hirokawa Maru,Imperial Japanese Navy
USS Jarvis,United States Navy
USS John Penn,United States Navy
Kasi Maru,Imperial Japanese Navy
USS Kanawha,United States Navy
Kinugawa Maru,Imperial Japanese Navy
Kirishima,Imperial Japanese Navy
USS Laffey,United States Navy
USS Little,United States Navy
Makigumo,Imperial Japanese Navy
HMNZS Moa,Royal New Zealand Navy
USS Monssen,United States Navy
USS Northampton,United States Navy
USS Preston,United States Navy
PT-37,United States Navy
PT-44,United States Navy
PT-111,United States Navy
PT-112,United States Navy
PT-123,United States Navy
USS Quincy,United States Navy
USS Seminole,United States Navy
USS Serpens,United States Navy
Takanami,Imperial Japanese Navy
Teruzuki,Imperial Japanese Navy
Toa Maru,Imperial Japanese Navy
USS Vincennes,United States Navy
USS Walke,United States Navy
MS World Discoverer,Liberia
YP-284,United States Navy
Yūdachi,Imperial Japanese Navy
Abbey,New South Wales
Ability,New South Wales
Absalom,New South Wales
Acielle,Australia
Active,New South Wales
Ada,Unknown
Ada and Ethel,New South Wales
Adelaide,New South Wales
HMAS Adelaide,Royal Australian Navy
Adele,Royal Australian Navy
Adelphoi,New South Wales
Adolphe,France
Advance (1874),Australia
Advance (1884),Australia
Aenid,New South Wales
Agnes (1849),Canada
Agnes (1853),New South Wales
Agnes (1875),New South Wales
Agnes (1877),New South Wales
Agnes (1904),Australia
Agnes Irving,New South Wales
Alhambra,New South Wales
HMAS Anzac,Royal Australian Navy
Argument,New South Wales
HMAS Arunta,Royal Australian Navy
HMAS Australia,Royal Australian Navy
Bantam,Netherlands
Barcoo,Australia
Bellubera,Australia
Bluebell,Australia
Bombo,Australia
Bonnie Dundee,New South Wales
Brighton,Australia
Britannia,United Kingdom
Buster,Australia
Catterthun,New South Wales
Cawarra,New South Wales
Charlotte,United Kingdom
HMAS Colac,Royal Australian Navy
Colonist,United Kingdom
Comboyne,Australia
Contest,New South Wales
USS Craven,United States Navy
HMAS Doomba,Royal Australian Navy
Duckenfield,New South Wales
Dunbar,Unknown
Edward Lombe,United Kingdom
Edwin,New South Wales
Eleanor Lancaster,United Kingdom
Elizabeth Henrietta,New South Wales
HMAS Encounter,Royal Australian Navy
Enterprize,United Kingdom
Estramina,New South Wales
Fairwind,Australian Army
Fingal,Australia
Fitzroy,Australia
Francis,New South Wales
HMAS Geranium,Royal Australian Navy
HMAS Goolgwai,Royal Australian Navy
Governor Hunter,New South Wales
Governor King,New South Wales
Grecian,Tasmania
Greycliffe,Australia
Hawkesbury Packet,New South Wales
Hazard,New South Wales
Herald,New South Wales
Hereward,United Kingdom
Hive,United Kingdom
Hope,New South Wales
HMAS Huon,Royal Australian Navy
Iron Knight,Australia
Itata,United Kingdom
HMAS Karangi,Royal Australian Navy
HMAS Kara Kara,Royal Australian Navy
HMAS Kianga,Royal Australian Navy
HMAS Kookaburra,Royal Australian Navy
Koonya,New South Wales
Koraaga,Australia
HMAS Kuttabul,Royal Australian Navy
Limerick,New Zealand
Lindus,Victoria
M84,Imperial Japanese Navy
Maianbar,Australia
HMS Mallow,Royal Navy
HMAS Marguerite,Royal Australian Navy
Martha,New South Wales
HMAS Medea,Royal Australian Navy
HMAS Mercedes,Royal Australian Navy
Merksworth,New South Wales
Narara,Australia
Nimbin,Australia
Norfolk,Great Britain
HMAS Olive Cam,Royal Australian Navy
USS Osborne,United States Navy
HMAS Paterson,Royal Australian Navy
HMAS Pioneer,Royal Australian Navy
Queen of Nations,United Kingdom
Recovery,United Kingdom
Shockwave,Australia
HMAS Stalwart,Royal Australian Navy
HMAS Swan,Royal Australian Navy
Sygna,Norway
Tassie III,United States Army
Three Bees,United Kingdom
Titan,Singapore
HMAS Torrens,Royal Australian Navy
Trial,New South Wales
Tuncurry,Australia
Tuggerah,Unknown
HMAS Vendetta,Royal Australian Navy
HMAS Vigilant,Royal Australian Navy
Wandra,Australia
HMAS Waree,Royal Australian Navy
Wendouree,New South Wales
William Cossar,New South Wales
Windsor,New South Wales
Wollongbar (1911),Australia
Wollongbar (1922),Australia
HMAS Woomera,Royal Australian Navy
USS WST-1,United States Navy
HMAS Yarra,Royal Australian Navy
HMS Sirius,Royal Navy
HMAS Arrow,Royal Australian Navy
Booya,Australia
Brisbane,Queensland
British Motorist,United Kingdom
Darwin Princess,Unknown
Don Isidro,United States Army
Ellengowan,United Kingdom
HMAS Hankow,Royal Australian Navy
I-124,Imperial Japanese Navy
Kelat,Royal Australian Navy
HMAS Maroubra,Royal Australian Navy
Mauna Loa,United States Navy
HMAS Mavie,Royal Australian Navy
USAT Meigs,United States Army
Neptuna,Hong Kong
HMAS Patricia Cam,Royal Australian Navy
USS Peary,United States Navy
Zealandia,Australia
Aarhus,Unknown
Bee,Australia
HMAS Carroo,Royal Australian Navy
Cato,United Kingdom
AHS Centaur,Royal Australian Navy
Cherry Venture,Singapore
City of Adelaide,Australia
Dicky,Unknown
Duke of York,United Kingdom
HMQS Gayunda,Royal Australian Navy
George Rennie,Australia
Gothenburg,Victoria
HMS Harrier,Royal Navy
Jenny Lind,Unknown
Lady Bowen,Unknown
Maheno,New Zealand
Marloo,Australia
HMS Mermaid,Royal Navy
Moltke,Australia
HMS Porpoise,Royal Navy
RMS Quetta,United Kingdom
Scottish Prince,Unknown
Swiftsure,United Kingdom
HMAS Warrnambool,Royal Australian Navy
HMAS Wyatt Earp,Royal Australian Navy
Yongala,Australia
USS YP-279,United States Navy
Aagot,Norway
Admella,South Australia
Albatross,Unknown
Clan Ranald,United Kingdom
Edith Haviland,Unknown
Eleni K,Unknown
Ellen,South Australia
Ethel,Unknown
Fanny,Unknown
Ferret,South Australia
Frances,South Australia
Gloridia V,Unknown
Geltwood,United Kingdom
Hougomont,Finland
Investigator,Unknown
Koenig Wilhelm II,Unknown
Lady Kinnaird,United Kingdom
Loch Sloy,United Kingdom
Loch Vennachar,United Kingdom
Macintyre,Unknown
Marion,Unknown
No 5 dumb hopper barge,Australia
Notre Dame d'Avor,Unknown
Postboy,Australia
Saint Michele,Unknown
Santiago,Australia
Songvaar,Norway
Star of Greece,Unknown
South Australian,United Kingdom
Tom Brennan,Australia
Varoon,Unknown
Willyama,Unknown
Zanoni,United Kingdom
Actaeon,
Blythe Star,
The Brothers,
Cataraqui,
Campbell Macquarie,
Daphne,
Enchantress,
George III,
Hebe,
Iron Baron,
Lake Illawarra,
Nella Dan,
Netherby,
Neva,
Phatisalam,
Sydney Cove,
Cambridge,
HMVS Cerberus,
Cheviot,
City of Launceston,
City of Rayville,
Clonmel,
Curlip,
Earl of Charlemont,
Falls of Halladale,
HMAS Goorangai,Royal Australian Navy
HMVS Gordon,
Joseph H. Scammell,
Kanowna,
Lady Mary Pelham,
Lightning,
Loch Ard,
Petriana,
Saros,
Alacrity,
Alice,Unknown
Alkimos,
Arpenteur,
