,PlayerLine,line_index
101,"To wield old partisans, in hands as old,",102
102,"Canker'd with peace, to part your canker'd hate:",103
103,"If ever you disturb our streets again,",104
104,Your lives shall pay the forfeit of the peace.,105
105,"For this time, all the rest depart away:",106
106,"You Capulet, shall go along with me:",107
107,"And, Montague, come you this afternoon,",108
108,"To know our further pleasure in this case,",109
109,"To old Free-town, our common judgment-place.",110
110,"Once more, on pain of death, all men depart.",111
111,Who set this ancient quarrel new abroach?,112
112,"Speak, nephew, were you by when it began?",113
113,"Here were the servants of your adversary,",114
114,"And yours, close fighting ere I did approach:",115
115,I drew to part them: in the instant came,116
116,"The fiery Tybalt, with his sword prepared,",117
117,"Which, as he breathed defiance to my ears,",118
118,"He swung about his head and cut the winds,",119
119,Who nothing hurt withal hiss'd him in scorn:,120
120,"While we were interchanging thrusts and blows,",121
121,"Came more and more and fought on part and part,",122
122,"Till the prince came, who parted either part.",123
123,"O, where is Romeo? saw you him to-day?",124
124,Right glad I am he was not at this fray.,125
125,"Madam, an hour before the worshipp'd sun",126
126,"Peer'd forth the golden window of the east,",127
127,"A troubled mind drave me to walk abroad,",128
128,"Where, underneath the grove of sycamore",129
129,"That westward rooteth from the city's side,",130
130,So early walking did I see your son:,131
131,"Towards him I made, but he was ware of me",132
132,And stole into the covert of the wood:,133
133,"I, measuring his affections by my own,",134
134,"That most are busied when they're most alone,",135
135,"Pursued my humour not pursuing his,",136
136,And gladly shunn'd who gladly fled from me.,137
137,"Many a morning hath he there been seen,",138
138,With tears augmenting the fresh morning dew.,139
139,"Adding to clouds more clouds with his deep sighs,",140
140,But all so soon as the all-cheering sun,141
141,Should in the furthest east begin to draw,142
142,"The shady curtains from Aurora's bed,",143
143,"Away from the light steals home my heavy son,",144
144,"And private in his chamber pens himself,",145
145,"Shuts up his windows, locks far daylight out",146
146,And makes himself an artificial night:,147
147,"Black and portentous must this humour prove,",148
148,Unless good counsel may the cause remove.,149
149,"My noble uncle, do you know the cause?",150
150,I neither know it nor can learn of him.,151
151,Have you importuned him by any means?,152
152,Both by myself and many other friends:,153
153,"But he, his own affections' counsellor,",154
154,Is to himself--I will not say how true--,155
155,"But to himself so secret and so close,",156
156,"So far from sounding and discovery,",157
157,"As is the bud bit with an envious worm,",158
158,"Ere he can spread his sweet leaves to the air,",159
159,Or dedicate his beauty to the sun.,160
160,Could we but learn from whence his sorrows grow.,161
161,We would as willingly give cure as know.,162
162,"See, where he comes: so please you, step aside,",163
163,"I'll know his grievance, or be much denied.",164
164,"I would thou wert so happy by thy stay,",165
165,"To hear true shrift. Come, madam, let's away.",166
166,"Good-morrow, cousin.",167
167,Is the day so young?,168
168,But new struck nine.,169
169,Ay me! sad hours seem long.,170
170,Was that my father that went hence so fast?,171
171,It was. What sadness lengthens Romeo's hours?,172
172,"Not having that, which, having, makes them short.",173
173,In love?,174
174,Out--,175
175,Of love?,176
176,"Out of her favour, where I am in love.",177
177,"Alas, that love, so gentle in his view,",178
178,Should be so tyrannous and rough in proof!,179
179,"Alas, that love, whose view is muffled still,",180
180,"Should, without eyes, see pathways to his will!",181
181,Where shall we dine? O me! What fray was here?,182
182,"Yet tell me not, for I have heard it all.",183
183,"Here's much to do with hate, but more with love.",184
184,"Why, then, O brawling love! O loving hate!",185
185,"O any thing, of nothing first create!",186
186,O heavy lightness! serious vanity!,187
187,Mis-shapen chaos of well-seeming forms!,188
188,"Feather of lead, bright smoke, cold fire,",189
189,sick health!,190
190,"Still-waking sleep, that is not what it is!",191
191,"This love feel I, that feel no love in this.",192
192,Dost thou not laugh?,193
193,"No, coz, I rather weep.",194
194,"Good heart, at what?",195
195,At thy good heart's oppression.,196
196,"Why, such is love's transgression.",197
197,"Griefs of mine own lie heavy in my breast,",198
198,"Which thou wilt propagate, to have it prest",199
199,With more of thine: this love that thou hast shown,200
200,Doth add more grief to too much of mine own.,201
201,"Love is a smoke raised with the fume of sighs,",202
202,"Being purged, a fire sparkling in lovers' eyes,",203
203,Being vex'd a sea nourish'd with lovers' tears:,204
204,"What is it else? a madness most discreet,",205
205,A choking gall and a preserving sweet.,206
206,"Farewell, my coz.",207
207,"Soft! I will go along,",208
208,"An if you leave me so, you do me wrong.",209
209,"Tut, I have lost myself, I am not here,",210
210,"This is not Romeo, he's some other where.",211
211,"Tell me in sadness, who is that you love.",212
212,"What, shall I groan and tell thee?",213
213,"Groan! why, no.",214
214,But sadly tell me who.,215
215,Bid a sick man in sadness make his will:,216
216,"Ah, word ill urged to one that is so ill!",217
217,"In sadness, cousin, I do love a woman.",218
218,"I aim'd so near, when I supposed you loved.",219
219,A right good mark-man! And she's fair I love.,220
220,"A right fair mark, fair coz, is soonest hit.",221
221,"Well, in that hit you miss: she'll not be hit",222
222,"With Cupid's arrow, she hath Dian's wit,",223
223,"And, in strong proof of chastity well arm'd,",224
224,From love's weak childish bow she lives unharm'd.,225
225,"She will not stay the siege of loving terms,",226
226,"Nor bide the encounter of assailing eyes,",227
227,Nor ope her lap to saint-seducing gold:,228
228,"O, she is rich in beauty, only poor,",229
229,That when she dies with beauty dies her store.,230
230,Then she hath sworn that she will still live chaste?,231
231,"She hath, and in that sparing makes huge waste,",232
232,For beauty starved with her severity,233
233,Cuts beauty off from all posterity.,234
234,"She is too fair, too wise, wisely too fair,",235
235,To merit bliss by making me despair:,236
236,"She hath forsworn to love, and in that vow",237
237,Do I live dead that live to tell it now.,238
238,"Be ruled by me, forget to think of her.",239
239,"O, teach me how I should forget to think.",240
240,"By giving liberty unto thine eyes,",241
241,Examine other beauties.,242
242,'Tis the way,243
243,"To call hers exquisite, in question more:",244
244,These happy masks that kiss fair ladies' brows,245
245,"Being black put us in mind they hide the fair,",246
246,He that is strucken blind cannot forget,247
247,The precious treasure of his eyesight lost:,248
248,"Show me a mistress that is passing fair,",249
249,"What doth her beauty serve, but as a note",250
250,Where I may read who pass'd that passing fair?,251
251,Farewell: thou canst not teach me to forget.,252
252,"I'll pay that doctrine, or else die in debt.",253
253,"But Montague is bound as well as I,",254
254,"In penalty alike, and 'tis not hard, I think,",255
255,For men so old as we to keep the peace.,256
256,"Of honourable reckoning are you both,",257
257,And pity 'tis you lived at odds so long.,258
258,"But now, my lord, what say you to my suit?",259
259,But saying o'er what I have said before:,260
260,"My child is yet a stranger in the world,",261
261,"She hath not seen the change of fourteen years,",262
262,"Let two more summers wither in their pride,",263
263,Ere we may think her ripe to be a bride.,264
264,Younger than she are happy mothers made.,265
265,And too soon marr'd are those so early made.,266
266,"The earth hath swallow'd all my hopes but she,",267
267,She is the hopeful lady of my earth:,268
268,"But woo her, gentle Paris, get her heart,",269
269,"My will to her consent is but a part,",270
270,"An she agree, within her scope of choice",271
271,Lies my consent and fair according voice.,272
272,"This night I hold an old accustom'd feast,",273
273,"Whereto I have invited many a guest,",274
274,"Such as I love, and you, among the store,",275
275,"One more, most welcome, makes my number more.",276
276,At my poor house look to behold this night,277
277,Earth-treading stars that make dark heaven light:,278
278,Such comfort as do lusty young men feel,279
279,When well-apparell'd April on the heel,280
280,"Of limping winter treads, even such delight",281
281,Among fresh female buds shall you this night,282
282,"Inherit at my house, hear all, all see,",283
283,And like her most whose merit most shall be:,284
284,"Which on more view, of many mine being one",285
285,"May stand in number, though in reckoning none,",286
286,"Come, go with me.",287
287,"Go, sirrah, trudge about",288
288,"Through fair Verona, find those persons out",289
289,"Whose names are written there, and to them say,",290
290,My house and welcome on their pleasure stay.,291
291,Find them out whose names are written here! It is,292
292,"written, that the shoemaker should meddle with his",293
293,"yard, and the tailor with his last, the fisher with",294
294,"his pencil, and the painter with his nets, but I am",295
295,sent to find those persons whose names are here,296
296,"writ, and can never find what names the writing",297
297,person hath here writ. I must to the learned.--In good time.,298
298,"Tut, man, one fire burns out another's burning,",299
299,"One pain is lessen'd by another's anguish,",300
300,"Turn giddy, and be holp by backward turning,",301
301,One desperate grief cures with another's languish:,302
302,"Take thou some new infection to thy eye,",303
303,And the rank poison of the old will die.,304
304,Your plaintain-leaf is excellent for that.,305
305,"For what, I pray thee?",306
306,For your broken shin.,307
307,"Why, Romeo, art thou mad?",308
308,"Not mad, but bound more than a mad-man is,",309
309,"Shut up in prison, kept without my food,",310
310,"Whipp'd and tormented and--God-den, good fellow.",311
311,"God gi' god-den. I pray, sir, can you read?",312
312,"Ay, mine own fortune in my misery.",313
313,"Perhaps you have learned it without book: but, I",314
314,"pray, can you read any thing you see?",315
315,"Ay, if I know the letters and the language.",316
316,Ye say honestly: rest you merry!,317
317,"Stay, fellow, I can read.",318
318,"'Signior Martino and his wife and daughters,",319
319,"County Anselme and his beauteous sisters, the lady",320
320,"widow of Vitravio, Signior Placentio and his lovely",321
321,"nieces, Mercutio and his brother Valentine, mine",322
322,"uncle Capulet, his wife and daughters, my fair niece",323
323,"Rosaline, Livia, Signior Valentio and his cousin",324
324,"Tybalt, Lucio and the lively Helena.' A fair",325
325,assembly: whither should they come?,326
326,Up.,327
327,Whither?,328
328,"To supper, to our house.",329
329,Whose house?,330
330,My master's.,331
331,"Indeed, I should have ask'd you that before.",332
332,Now I'll tell you without asking: my master is the,333
333,"great rich Capulet, and if you be not of the house",334
334,"of Montagues, I pray, come and crush a cup of wine.",335
335,Rest you merry!,336
336,At this same ancient feast of Capulet's,337
337,"Sups the fair Rosaline whom thou so lovest,",338
338,With all the admired beauties of Verona:,339
339,"Go thither, and, with unattainted eye,",340
340,"Compare her face with some that I shall show,",341
341,And I will make thee think thy swan a crow.,342
342,When the devout religion of mine eye,343
343,"Maintains such falsehood, then turn tears to fires,",344
344,"And these, who often drown'd could never die,",345
345,"Transparent heretics, be burnt for liars!",346
346,One fairer than my love! the all-seeing sun,347
347,Ne'er saw her match since first the world begun.,348
348,"Tut, you saw her fair, none else being by,",349
349,Herself poised with herself in either eye:,350
350,But in that crystal scales let there be weigh'd,351
351,Your lady's love against some other maid,352
352,"That I will show you shining at this feast,",353
353,And she shall scant show well that now shows best.,354
354,"I'll go along, no such sight to be shown,",355
355,But to rejoice in splendor of mine own.,356
356,"Nurse, where's my daughter? call her forth to me.",357
357,"Now, by my maidenhead, at twelve year old,",358
358,"I bade her come. What, lamb! what, ladybird!",359
359,"God forbid! Where's this girl? What, Juliet!",360
360,How now! who calls?,361
361,Your mother.,362
362,"Madam, I am here.",363
363,What is your will?,364
364,"This is the matter:--Nurse, give leave awhile,",365
365,"We must talk in secret:--nurse, come back again,",366
366,"I have remember'd me, thou's hear our counsel.",367
367,Thou know'st my daughter's of a pretty age.,368
368,"Faith, I can tell her age unto an hour.",369
369,She's not fourteen.,370
370,"I'll lay fourteen of my teeth,--",371
371,"And yet, to my teeth be it spoken, I have but four--",372
372,She is not fourteen. How long is it now,373
373,To Lammas-tide?,374
374,A fortnight and odd days.,375
375,"Even or odd, of all days in the year,",376
376,Come Lammas-eve at night shall she be fourteen.,377
377,Susan and she--God rest all Christian souls!--,378
378,"Were of an age: well, Susan is with God,",379
379,"She was too good for me: but, as I said,",380
380,"On Lammas-eve at night shall she be fourteen,",381
381,"That shall she, marry, I remember it well.",382
382,"'Tis since the earthquake now eleven years,",383
383,"And she was wean'd,--I never shall forget it,--",384
384,"Of all the days of the year, upon that day:",385
385,"For I had then laid wormwood to my dug,",386
386,"Sitting in the sun under the dove-house wall,",387
387,My lord and you were then at Mantua:--,388
388,"Nay, I do bear a brain:--but, as I said,",389
389,When it did taste the wormwood on the nipple,390
390,"Of my dug and felt it bitter, pretty fool,",391
391,To see it tetchy and fall out with the dug!,392
392,"Shake quoth the dove-house: 'twas no need, I trow,",393
393,To bid me trudge:,394
394,"And since that time it is eleven years,",395
395,"For then she could stand alone, nay, by the rood,",396
396,"She could have run and waddled all about,",397
397,"For even the day before, she broke her brow:",398
398,And then my husband--God be with his soul!,399
399,A' was a merry man--took up the child:,400
400,"'Yea,' quoth he, 'dost thou fall upon thy face?",401
401,"Thou wilt fall backward when thou hast more wit,",402
402,"Wilt thou not, Jule?' and, by my holidame,",403
403,The pretty wretch left crying and said 'Ay.',404
404,"To see, now, how a jest shall come about!",405
405,"I warrant, an I should live a thousand years,",406
406,"I never should forget it: 'Wilt thou not, Jule?' quoth he,",407
407,"And, pretty fool, it stinted and said 'Ay.'",408
408,"Enough of this, I pray thee, hold thy peace.",409
409,"Yes, madam: yet I cannot choose but laugh,",410
410,To think it should leave crying and say 'Ay.',411
411,"And yet, I warrant, it had upon its brow",412
412,"A bump as big as a young cockerel's stone,",413
413,"A parlous knock, and it cried bitterly:",414
414,"'Yea,' quoth my husband,'fall'st upon thy face?",415
415,"Thou wilt fall backward when thou comest to age,",416
416,"Wilt thou not, Jule?' it stinted and said 'Ay.'",417
417,"And stint thou too, I pray thee, nurse, say I.",418
418,"Peace, I have done. God mark thee to his grace!",419
419,Thou wast the prettiest babe that e'er I nursed:,420
420,"An I might live to see thee married once,",421
421,I have my wish.,422
422,"Marry, that 'marry' is the very theme",423
423,"I came to talk of. Tell me, daughter Juliet,",424
424,How stands your disposition to be married?,425
425,It is an honour that I dream not of.,426
426,"An honour! were not I thine only nurse,",427
427,I would say thou hadst suck'd wisdom from thy teat.,428
428,"Well, think of marriage now, younger than you,",429
429,"Here in Verona, ladies of esteem,",430
430,"Are made already mothers: by my count,",431
431,I was your mother much upon these years,432
432,That you are now a maid. Thus then in brief:,433
433,The valiant Paris seeks you for his love.,434
434,"A man, young lady! lady, such a man",435
435,"As all the world--why, he's a man of wax.",436
436,Verona's summer hath not such a flower.,437
437,"Nay, he's a flower, in faith, a very flower.",438
438,What say you? can you love the gentleman?,439
439,"This night you shall behold him at our feast,",440
440,"Read o'er the volume of young Paris' face,",441
441,"And find delight writ there with beauty's pen,",442
442,"Examine every married lineament,",443
443,And see how one another lends content,444
444,And what obscured in this fair volume lies,445
445,Find written in the margent of his eyes.,446
446,"This precious book of love, this unbound lover,",447
447,"To beautify him, only lacks a cover:",448
448,"The fish lives in the sea, and 'tis much pride",449
449,For fair without the fair within to hide:,450
450,"That book in many's eyes doth share the glory,",451
451,"That in gold clasps locks in the golden story,",452
452,"So shall you share all that he doth possess,",453
453,"By having him, making yourself no less.",454
454,"No less! nay, bigger, women grow by men.",455
455,"Speak briefly, can you like of Paris' love?",456
456,"I'll look to like, if looking liking move:",457
457,But no more deep will I endart mine eye,458
458,Than your consent gives strength to make it fly.,459
459,"Madam, the guests are come, supper served up, you",460
460,"called, my young lady asked for, the nurse cursed in",461
461,"the pantry, and every thing in extremity. I must",462
462,"hence to wait, I beseech you, follow straight.",463
463,We follow thee.,464
464,"Juliet, the county stays.",465
465,"Go, girl, seek happy nights to happy days.",466
466,"What, shall this speech be spoke for our excuse?",467
467,Or shall we on without a apology?,468
468,The date is out of such prolixity:,469
469,"We'll have no Cupid hoodwink'd with a scarf,",470
470,"Bearing a Tartar's painted bow of lath,",471
471,"Scaring the ladies like a crow-keeper,",472
472,"Nor no without-book prologue, faintly spoke",473
473,"After the prompter, for our entrance:",474
474,"But let them measure us by what they will,",475
475,"We'll measure them a measure, and be gone.",476
476,"Give me a torch: I am not for this ambling,",477
477,"Being but heavy, I will bear the light.",478
478,"Nay, gentle Romeo, we must have you dance.",479
479,"Not I, believe me: you have dancing shoes",480
480,With nimble soles: I have a soul of lead,481
481,So stakes me to the ground I cannot move.,482
482,"You are a lover, borrow Cupid's wings,",483
483,And soar with them above a common bound.,484
484,I am too sore enpierced with his shaft,485
485,"To soar with his light feathers, and so bound,",486
486,I cannot bound a pitch above dull woe:,487
487,Under love's heavy burden do I sink.,488
488,"And, to sink in it, should you burden love,",489
489,Too great oppression for a tender thing.,490
490,"Is love a tender thing? it is too rough,",491
491,"Too rude, too boisterous, and it pricks like thorn.",492
492,"If love be rough with you, be rough with love,",493
493,"Prick love for pricking, and you beat love down.",494
494,Give me a case to put my visage in:,495
495,A visor for a visor! what care I,496
496,What curious eye doth quote deformities?,497
497,Here are the beetle brows shall blush for me.,498
498,"Come, knock and enter, and no sooner in,",499
499,But every man betake him to his legs.,500
500,A torch for me: let wantons light of heart,501
501,"Tickle the senseless rushes with their heels,",502
502,"For I am proverb'd with a grandsire phrase,",503
503,"I'll be a candle-holder, and look on.",504
504,"The game was ne'er so fair, and I am done.",505
505,"Tut, dun's the mouse, the constable's own word:",506
506,"If thou art dun, we'll draw thee from the mire",507
507,"Of this sir-reverence love, wherein thou stick'st",508
508,"Up to the ears. Come, we burn daylight, ho!",509
509,"Nay, that's not so.",510
510,"I mean, sir, in delay",511
511,"We waste our lights in vain, like lamps by day.",512
512,"Take our good meaning, for our judgment sits",513
513,Five times in that ere once in our five wits.,514
514,"And we mean well in going to this mask,",515
515,But 'tis no wit to go.,516
516,"Why, may one ask?",517
517,I dream'd a dream to-night.,518
518,And so did I.,519
519,"Well, what was yours?",520
520,That dreamers often lie.,521
521,"In bed asleep, while they do dream things true.",522
522,"O, then, I see Queen Mab hath been with you.",523
523,"She is the fairies' midwife, and she comes",524
524,In shape no bigger than an agate-stone,525
525,"On the fore-finger of an alderman,",526
526,Drawn with a team of little atomies,527
527,"Athwart men's noses as they lie asleep,",528
528,"Her wagon-spokes made of long spiders' legs,",529
529,"The cover of the wings of grasshoppers,",530
530,"The traces of the smallest spider's web,",531
531,"The collars of the moonshine's watery beams,",532
532,"Her whip of cricket's bone, the lash of film,",533
533,"Her wagoner a small grey-coated gnat,",534
534,Not so big as a round little worm,535
535,"Prick'd from the lazy finger of a maid,",536
536,Her chariot is an empty hazel-nut,537
537,"Made by the joiner squirrel or old grub,",538
538,Time out o' mind the fairies' coachmakers.,539
539,And in this state she gallops night by night,540
540,"Through lovers' brains, and then they dream of love,",541
541,"O'er courtiers' knees, that dream on court'sies straight,",542
542,"O'er lawyers' fingers, who straight dream on fees,",543
543,"O'er ladies ' lips, who straight on kisses dream,",544
544,"Which oft the angry Mab with blisters plagues,",545
545,Because their breaths with sweetmeats tainted are:,546
546,"Sometime she gallops o'er a courtier's nose,",547
547,"And then dreams he of smelling out a suit,",548
548,And sometime comes she with a tithe-pig's tail,549
549,"Tickling a parson's nose as a' lies asleep,",550
550,"Then dreams, he of another benefice:",551
551,"Sometime she driveth o'er a soldier's neck,",552
552,"And then dreams he of cutting foreign throats,",553
553,"Of breaches, ambuscadoes, Spanish blades,",554
554,"Of healths five-fathom deep, and then anon",555
555,"Drums in his ear, at which he starts and wakes,",556
556,And being thus frighted swears a prayer or two,557
557,And sleeps again. This is that very Mab,558
558,"That plats the manes of horses in the night,",559
559,"And bakes the elflocks in foul sluttish hairs,",560
560,"Which once untangled, much misfortune bodes:",561
561,"This is the hag, when maids lie on their backs,",562
562,"That presses them and learns them first to bear,",563
563,Making them women of good carriage:,564
564,This is she--,565
565,"Peace, peace, Mercutio, peace!",566
566,Thou talk'st of nothing.,567
567,"True, I talk of dreams,",568
568,"Which are the children of an idle brain,",569
569,"Begot of nothing but vain fantasy,",570
570,Which is as thin of substance as the air,571
571,"And more inconstant than the wind, who wooes",572
572,"Even now the frozen bosom of the north,",573
573,"And, being anger'd, puffs away from thence,",574
574,Turning his face to the dew-dropping south.,575
575,"This wind, you talk of, blows us from ourselves,",576
576,"Supper is done, and we shall come too late.",577
577,"I fear, too early: for my mind misgives",578
578,Some consequence yet hanging in the stars,579
579,Shall bitterly begin his fearful date,580
580,With this night's revels and expire the term,581
581,Of a despised life closed in my breast,582
582,By some vile forfeit of untimely death.,583
583,"But He, that hath the steerage of my course,",584
584,"Direct my sail! On, lusty gentlemen.",585
585,"Strike, drum.",586
586,"Where's Potpan, that he helps not to take away? He",587
587,shift a trencher? he scrape a trencher!,588
588,When good manners shall lie all in one or two men's,589
589,"hands and they unwashed too, 'tis a foul thing.",590
590,"Away with the joint-stools, remove the",591
591,"court-cupboard, look to the plate. Good thou, save",592
592,"me a piece of marchpane, and, as thou lovest me, let",593
593,the porter let in Susan Grindstone and Nell.,594
594,"Antony, and Potpan!",595
595,"Ay, boy, ready.",596
596,"You are looked for and called for, asked for and",597
597,"sought for, in the great chamber.",598
598,"We cannot be here and there too. Cheerly, boys, be",599
599,"brisk awhile, and the longer liver take all.",600
600,"Welcome, gentlemen! ladies that have their toes",601
601,Unplagued with corns will have a bout with you.,602
602,"Ah ha, my mistresses! which of you all",603
603,"Will now deny to dance? she that makes dainty,",604
604,"She, I'll swear, hath corns, am I come near ye now?",605
605,"Welcome, gentlemen! I have seen the day",606
606,That I have worn a visor and could tell,607
607,"A whispering tale in a fair lady's ear,",608
608,"Such as would please: 'tis gone, 'tis gone, 'tis gone:",609
609,"You are welcome, gentlemen! come, musicians, play.",610
610,"A hall, a hall! give room! and foot it, girls.",611
611,"More light, you knaves, and turn the tables up,",612
612,"And quench the fire, the room is grown too hot.",613
613,"Ah, sirrah, this unlook'd-for sport comes well.",614
614,"Nay, sit, nay, sit, good cousin Capulet,",615
615,For you and I are past our dancing days:,616
616,How long is't now since last yourself and I,617
617,Were in a mask?,618
618,"By'r lady, thirty years.",619
619,"What, man! 'tis not so much, 'tis not so much:",620
620,"'Tis since the nuptials of Lucentio,",621
621,"Come pentecost as quickly as it will,",622
622,"Some five and twenty years, and then we mask'd.",623
623,"'Tis more, 'tis more, his son is elder, sir,",624
624,His son is thirty.,625
625,Will you tell me that?,626
626,His son was but a ward two years ago.,627
627,"[To a Servingman]  What lady is that, which doth",628
628,enrich the hand,629
629,Of yonder knight?,630
630,"I know not, sir.",631
631,"O, she doth teach the torches to burn bright!",632
632,It seems she hangs upon the cheek of night,633
633,"Like a rich jewel in an Ethiope's ear,",634
634,"Beauty too rich for use, for earth too dear!",635
635,"So shows a snowy dove trooping with crows,",636
636,As yonder lady o'er her fellows shows.,637
637,"The measure done, I'll watch her place of stand,",638
638,"And, touching hers, make blessed my rude hand.",639
639,"Did my heart love till now? forswear it, sight!",640
640,For I ne'er saw true beauty till this night.,641
641,"This, by his voice, should be a Montague.",642
642,"Fetch me my rapier, boy. What dares the slave",643
643,"Come hither, cover'd with an antic face,",644
644,To fleer and scorn at our solemnity?,645
645,"Now, by the stock and honour of my kin,",646
646,"To strike him dead, I hold it not a sin.",647
647,"Why, how now, kinsman! wherefore storm you so?",648
648,"Uncle, this is a Montague, our foe,",649
649,"A villain that is hither come in spite,",650
650,To scorn at our solemnity this night.,651
651,Young Romeo is it?,652
652,"'Tis he, that villain Romeo.",653
653,"Content thee, gentle coz, let him alone,",654
654,"He bears him like a portly gentleman,",655
655,"And, to say truth, Verona brags of him",656
656,To be a virtuous and well-govern'd youth:,657
657,I would not for the wealth of all the town,658
658,Here in my house do him disparagement:,659
659,"Therefore be patient, take no note of him:",660
660,"It is my will, the which if thou respect,",661
661,"Show a fair presence and put off these frowns,",662
662,And ill-beseeming semblance for a feast.,663
663,"It fits, when such a villain is a guest:",664
664,I'll not endure him.,665
665,He shall be endured:,666
666,"What, goodman boy! I say, he shall: go to,",667
667,"Am I the master here, or you? go to.",668
668,You'll not endure him! God shall mend my soul!,669
669,You'll make a mutiny among my guests!,670
670,You will set cock-a-hoop! you'll be the man!,671
671,"Why, uncle, 'tis a shame.",672
672,"Go to, go to,",673
673,"You are a saucy boy: is't so, indeed?",674
674,"This trick may chance to scathe you, I know what:",675
675,"You must contrary me! marry, 'tis time.",676
676,"Well said, my hearts! You are a princox, go:",677
677,"Be quiet, or--More light, more light! For shame!",678
678,"I'll make you quiet. What, cheerly, my hearts!",679
679,Patience perforce with wilful choler meeting,680
680,Makes my flesh tremble in their different greeting.,681
681,I will withdraw: but this intrusion shall,682
682,Now seeming sweet convert to bitter gall.,683
683,[To JULIET]  If I profane with my unworthiest hand,684
684,"This holy shrine, the gentle fine is this:",685
685,"My lips, two blushing pilgrims, ready stand",686
686,To smooth that rough touch with a tender kiss.,687
