Ship,Sunk date,Notes,Coordinates,Year
USS Hugh L. Scott,12-Nov-42,A Hugh L. Scott-class troopship that was torpedoed by U-130 off Casablanca.,,1942
HMS Lady Shirley,11-Dec-41,A warship that was torpedoed by U-374 in the Straits of Gibraltar.,,1941
USS Tasker H. Bliss,13-Nov-42,A Tasker H. Bliss-class troopship that was sunk by U-130 off Casablanca.,,1942
Taube,20-Jan-09,"The sailing yacht Taube, sailing for the (since abandoned) cultural exploration project Migrobirdo, capsized in heavy swell on the approach to the port of Mehdya on the Sebou River. Six youths of different nationalities drowned, while one German female survived. An investigation concluded that several factors contributed to the accident, including an untrained skipper, an inexperienced crew, overloading, and the absence of a clear line of command.[7]",,2009
U-173,16-Nov-42,A Type IXC U-boat that was sunk by American destroyers off Casablanca.,,1942
U-204,19-Oct-41,A Type VIIC U-boat that was sunk by HMS Mallow and HMS Rochester near Tangier.,,1941
U-731,15-May-44,A Type VIIC U-boat that was sunk by British ships north of Tangier.,,1944
U-732,31-Oct-43,A Type VIIC U-boat that came under attack from British forces and was scuttled north of Tangier.,,1943
HMS Havock,6-Apr-42,A H-class destroyer that ran aground off Kelibia.,36°52′18″N 11°8′24″E,1942
HMS Hostile,23-Aug-40,A H-class destroyer that struck a mine and was scuttled off Cap Bon.,36°53′00″N 11°19′00″E,1940
HMS Manchester,13-Aug-42,A Town-class light cruiser that was sunk during Operation Pedestal.,36°50′0″N 11°10′0″E,1942
USS PC-496,4-Jun-43,A PC-461-class submarine chaser that sank off Bizerte.,37°23′0″N 9°52′0″E,1943
USS Redwing,29-Jun-43,A Lapwing-class minesweeper that capsized off Bizerte.,37°19′N 9°56′E,1943
Dunedin Star,29-Nov-42,"A refrigerator ship that ran aground on the Skeleton Coast, 80 kilometres (50 mi) south of the Cunene River.[10]",18°08′S 11°33′E,1942
Eduard Bohlen,5-Sep-09,A freighter that ran aground south of Conception Bay.[11][12],23°59′43″S 14°27′26″E,2009
Frotamerica,15-Feb-13,"The cargo ship ran aground at Lüderitz, Namibia.[13]",26°22′12″S 15°02′25″E,2013
Bredenhof,6 June 1753,"A Dutch East Indiaman carrying copper duits, silver bars, and gold ducats, which hit a reef twenty-one kilometres (13 mi) from the eastern coast of Africa and 190 kilometres (120 mi) south of the Portuguese settlement of Mozambique. The wreck was discovered in 1986.[15]",,1753
Cordigliera,16-Nov-96,"After placing a distress call to Durban Radio at 10:30 pm requesting immediate assistance due to a leak in a hold, the freighter sank off Port St Johns, South Africa, with the loss of all 23 lives.[16]",,1996
Doddington,17 July 1755,An East Indiaman that was wrecked at Bird Island in Algoa Bay.[17],33°50.06′S 26°17.40′E,1755
Grosvenor,4 August 1782,An East Indiaman that was wrecked off the Pondoland coast.[18],31°22′26″S 29°54′53″E,1782
Kapodistrias,1985,A Greek bulk carrier wrecked at Cape Recife near Port Elizabeth,34°02′32″S 25°41′36″E,1985
Kiperousa,2005,A bulk carrier that was stranded northeast of Port Alfred.[19],33°20′S 27°25′E,2005
Oceanos,4-Aug-91,"A cruise liner that sank off the Transkei coast, after leaving East London en route to Durban.[20]",32°07′15″S 29°07′13″E,1991
Santissimo Sacramento,1647,A Portuguese vessel wrecked at Sardinia Bay near Port Elizabeth,34°02′35″S 25°31′13″E,1647
Shalom,26-Jul-01,A combined ocean liner/cruise ship that sank off Cape St. Francis while under tow to be scrapped.,,2001
TMP Sagittarius,Jul 2002,Stranded southwest of East London.[21],33°4′S 27°51′E,2002
HMS Otus,Sep-46,An Odin-class submarine that was scuttled off Durban.,29°52′21″S 31°05′39″E,1946
Phoenix,11-Sep,"A tanker that ran aground near Ballito on 26 July 2011, and was then refloated and scuttled offshore.",,2011
Volo,6 March 1886,A barque that was stranded in the Bushman River.,,1886
A.H. Stevens,7-Feb-62,Stranded in Shell Bay on Robben Island.,,1962
Arniston,30 May 1815,"A British East Indiaman, requisitioned for troop transport, wrecked near Waenhuiskrans.[22]",34°39′36″S 20°15′7″E,1815
HMS Birkenhead,26 February 1852,"A British iron-hulled troopship that struck a submerged rock near Gansbaai. The chivalry of the soldiers in abandoning ship gave rise to the ""women and children first"" protocol.[23]",34°38′42″S 19°17′9″E,1852
BOS 400,26-Jun-94,A derrick/lay barge that ran aground on Duiker point after breaking loose while being towed around the Cape Peninsula by the tug Tigr in a storm.[24],34°2′13.28″S 18°18′31.18″E,1994
British Peer,8 December 1896,A three-masted iron sailing ship that ran aground near the Cape of Good Hope.[25],33°30.4′S 18°18.70′E,1896
Cospatrick,17 November 1874,"A wooden 3-masted full-rigged sailing ship that caught fire and sank south of the Cape of Good Hope, with a loss of 369 lives.[26]",37°S 12°E,1874
HMS Guardian,24 December 1789,"A 44-gun Roebuck-class ship laid down in 1780. Severely damaged by an iceberg, the ship was sailed 400 leagues (1,900 km) to the Cape of Good Hope, where it was intentionally grounded.[27]",,1789
Ikan Tanda,2001,"A cargo ship that ran aground near Cape Town, and was re-floated and scuttled 320 kilometres (200 mi) from shore.[28]",,2001
Joanna,8 June 1682,An East Indiaman (the first to be wrecked off the South African coast) that sank near Cape Agulhas. A considerable amount of gold was on the ship.[29],34°46′58″S 19°40′46″E,1682
Johanna Wagner,15 July 1862,A Prussian barque that ran ashore due to navigational error near Muizenberg.[30],,1862
Kakapo,25-May-00,A British 665-ton schooner-rigged steamship built in 1898 by the Grangemouth Dockyard Company,34°07′26″S 18°20′56″E,2000
Maori,5-Aug-09,"A Shaw Savill Line steamship that was wrecked near Llandudno, Cape Town.[31]",,2009
Meisho Maru No. 38,1982,A fishing trawler that sank near Cape Aghulas.,34°49′S 19°59′E,1982
Pantalis A Lemos,1978,A bulk carrier that sank near Saldanha Bay.,33°9′S 18°1′E,1978
HMS Pelorus,12-Nov-94,"A British Algerine-class minesweeper built in 1943. It was renamed SAS Pietermarizburg in 1947, and at the end of its career was scuttled to make an artificial reef at Miller's Point near Simon's Town.[32]",,1994
SAS President Kruger,18-Feb-82,"A South African frigate that sank in deep water after a collision with its refueling ship, SAS Tafelberg.[33]",35°15′S 17°21′E,1982
São José Paquete Africa,27 December 1794,"A Portuguese slave ship that was wrecked on the rocks off Cape Town, resulting in the deaths of over 200 slaves. The wreck was rediscovered in the 1980s, but was not identified until 2015.",,1794
HMS Sceptre,5 November 1799,"A 64-gun third-rate ship of the line of the Royal Navy that was blown ashore in Table Bay by a gale, with heavy losses.[34]",33°55′12″S 18°27′0″E,1799
Seli 1,18-Sep-09,A Turkish bulk carrier carrying coal that ran aground on Bloubergstrand near Table Bay.,33°49′15.75″S 18°28′24.58″E,2009
Staaten Generaal,1806,A Dutch ship of the line that was scuttled near Simon's Town to prevent her falling into enemy hands following the Battle of Blaauwberg.,,1806
HMS Thames,13-May-47,"A former Mersey-class protected cruiser that became famous as SATS General Botha, a merchant naval training ship. After retiring as a training ship, it reverted to its original name and was sunk in False Bay near Simon's Town as a target.[35]",34°13′48″S 18°37′48″E,1947
Thomas T. Tucker,27-Nov-42,"A Houston-built munitions carrier that ran ashore on Oliphantsbos Point, near Cape Point.[36]",34°16′23.66″S 18°22′48.33″E,1942
Treasure,23-Jun-00,"A bulk ore carrier that developed a hole in its hull and sank under tow northwest of Cape Town, causing an oil spill that killed around 2,000 endangered African penguins.",33°40.30′S 18°19.90′E,2000
Wafra,28-Feb-71,"An oil tanker that grounded near Cape Agulhas, causing an oil spill. The ship was later refloated, towed out to sea, and re-sunk to avoid further contamination of the coastline.",36°57′S 20°42′E,1971
Waterloo,28 August 1842,"A British convict ship that was driven ashore in Table Bay by a storm, together with the troop transport Abercrombie Robinson.",,1842
Diemermeer,1747,"An East Indiaman that was wrecked off the Banana Islands, Sierra Leone. The wreck was rediscovered in 2014.",,1747
George,1-Apr-99,A Nigerian and Port Harcourt to Nembe route ferry that capsized in rough sea off Port Harcourt. At least 100 people were killed.[37],,1999
Hartwell,22 May 1787,An East Indiaman that ran aground off Cape Verde following a mutiny.,,1787
Joola,26-Sep-02,A Senegalese passenger ship that capsized off the coast of the Gambia.[38],,2002
Medusa,2 July 1816,"A French passenger ship that sank near Bank of Arguin. The traumatic experience of the stranded passengers and crew was immortalized in Géricault's painting, The Raft of the Medusa.",,1816
Primauguet,8-Nov-42,"A French Duguay-Trouin-class light cruiser, laid down in 1923, that was sunk by gunfire from USS Massachusetts.",,1942
Tor Hugo,27-Nov-72,A Norwegian patrol boat that served in World War II before being sold off to civilian ownership as a fishing vessel.,,1972
Demas Victory,30-Jun-09,A supply ship that capsized about 10 nautical miles (19 km; 12 mi) off Doha.,,2009
Free Enterprise,2004,"A Ro-Pax vessel, later renamed Al Fahad, that was anchored after engine problems and abandoned 14.6 kilometres (9.1 mi) southwest of the old city center of Jeddah.[3]",21°22′35.67″N 39°07′13.51″E,2004
Glen Sannox,2000,A Clyde car ferry built in 1957 which ran aground south of Jeddah.[3],,2000
Dara,10-Apr-61,"An ocean liner that suffered an internal explosion off Dubai, possibly due to an act of sabotage. 238 people were killed, and the ship sank under tow two days later.",25°34′29″N 55°27′58″E,1961
Aden,1897,A P&O ship that was lost off Socotra.,,1897
Hutton,1882,A steamboat that was wrecked in the Gulf of Aden.,,1882
HMS Khartoum,23-Jun-40,A K-class destroyer that caught fire and sank off Perim.,12°38′0″N 43°24′0″E,1940
HMIS Jamnagar,29-Aug-48,A coastal trading vessel that ran aground on Domanik Island in the Bay of Bengal.,21°53′N 90°48′E,1948
USS Salute,8-Jun-45,An Admirable-class minesweeper that struck a mine in Brunei Bay.,5°8′N 115°5′E,1945
HMIS Indus,6-Apr-42,A Grimsby-class sloop that was bombed by Japanese aircraft off Akyab.,20°7′N 92°54′E,1942
Amatsukaze,6-Apr-45,A Kagerō-class destroyer that was sunk by US aircraft east of Amoy.,24°30′N 118°10′E,1945
SMS Cormoran,28-Sep-14,A Bussard-class cruiser that was scuttled at Tsingtau to prevent capture.,36°03′00″N 120°16′00″E,2014
Dashun,Nov-99,"A ferry that ran between Dalian and Yantai. It caught fire and capsized off Yantai, Shandong, killing at least 280.",,1999
Dingyuan,10 February 1895,A pre-dreadnought battleship that was scuttled after taking damage in the Battle of Weihaiwei.,37°30′1.68″N 122°10′48.57″E,1895
Dongfang zhi Xing,1-Jun-15,"A cruise ship that ran between nanjing and Chongqing. It capsized on the Yangtze River after being hit by a downburst in Jianli County, Jingzhou, Hubei, killing 442.",29°45′33″N 112°55′22″E,2015
Jingyuan,17 September 1894,An armored cruiser that was sunk in the Battle of the Yalu River.,39°12′50″N 123°07′35″E,1894
Jiyuan,30-Nov-04,A protected cruiser that struck a mine off the Lüshunkou District.,38°51′N 121°05′E,2004
Kaimon,5-Jul-04,A sloop-of-war that struck a mine off Lüshunkou.,38°50′N 121°50′E,2004
Laiyuan,5 February 1895,An armored cruiser that was sunk in the Battle of Weihaiwei.,37°29′49″N 122°10′16″E,1895
Ōshima,18-May-04,A gunboat that collided with Akagi in heavy fog off Lüshunkou.,39°01′N 121°08′E,2004
Petropavlovsk,13-Apr-04,A Petropavlovsk-class battleship that was sunk by a mine in the Yellow Sea.[5],,2004
Red Star 312,Mar-83,"A ferry on the Guangzhou–Zhaoqing route. It capsized in thunderstorm at Shanshui, Guangdong, with at least 147 people confirmed dead.",,1983
Rong Jian,Jun-00,"Capsized in Yangtze River, Hejiang, Sichuan, with at least 131 people confirmed dead.",,2000
Sevastopol,2-Jan-05,A Petropavlovsk-class battleship that was scuttled in the Yellow Sea to avoid capture.,,2005
HMAS Armidale,1-Dec-42,A Bathurst-class corvette that was sunk by Japanese aircraft off Betano Bay.,9°9′52″S 125°43′30″E,1942
HMAS Voyager,23-Sep-42,A W-class destroyer that ran aground at Betano Bay.,9°15′S 125°45′E,1942
Bokhara,10 October 1892,"A steamship that sank in a typhoon, killing 125 people on board.",,1892
Fatshan,17-Aug-71,"A ferry that sank near Lantau Island during the height of Typhoon Rose; of the 92 on board, only 4 people survived.",,1971
RMS Queen Elizabeth,9-Jan-72,"An ocean liner that caught fire in mysterious circumstances, and was capsized by the water used to fight the fire. The wreck now lies buried beneath Container Terminal 9.",22°19.717′N 114°06.733′E,1972
Lamma IV,1-Oct-12,"A ferry that collided with another ferry off Lamma Island, killing 39 of the 127 on board.[6]",22°14′08″N 114°06′14″E,2012
Neftegaz-67,22-Mar-08,A Ukrainian anchor handling tug supply vessel which sank after colliding with China-registered bulk carrier Yao Hai east of Brothers Island. The wreck was salvaged 27 April 2008.,,2008
PNS Ghazi,4-Dec-71,"A Tench-class submarine that sank in unknown circumstances off Visakhapatnam, during the Indo-Pakistani War.",,1971
Stakesby,31-Jul-49,"A cargo ship that became stranded in the Karnaphuli River, Chittagong.[7]",,1949
HMS Alceste,22 February 1817,An Armide-class frigate that was wrecked in the Java Sea.,,1817
Amagiri,23-Apr-44,A Fubuki-class destroyer that struck a mine near Balikpapan.,02°10′S 116°45′E,1944
Aquila,27-May-58,"A cargo ship that was bombed and sunk by the CIA while anchored at Ambon, Maluku, as part of a covert operation to drive foreign trade from Indonesian waters.",,1958
Asagumo,25-Oct-44,An Asashio-class destroyer that was torpedoed by USS McDermut at the Battle of Surigao Strait.,01°59′S 104°56′E,1944
Ashigara,8-Jun-45,A Myōkō-class heavy cruiser that was torpedoed off the Bangka–Belitung Islands.,01°59′S 104°56′E,1945
Belitung shipwreck,830 ,The wreck of an Arabian dhow that sank off Belitung Island,2°45′39.00″S 107°35′42.66″E,830
USS Bullhead,6-Aug-45,A Balao-class submarine that was sunk by Japanese aircraft in the Java Sea.,,1945
HNLMS De Ruyter,28-Feb-42,A light cruiser torpedoed by Haguro in the Battle of the Java Sea.,5°58′55″S 112°3′57″E,1942
USS Edsall,1-Mar-42,A Clemson-class destroyer that was sunk by Japanese forces in the Java Sea.,13°45′S 106°45′E,1942
HMS Electra,27-Feb-42,An E-class destroyer that was sunk in the Battle of the Java Sea.,5°0′S 111°0′E,1942
HMS Encounter,1-Mar-42,An E-class destroyer that was sunk in the Second Battle of the Java Sea.,,1942
HMS Exeter,1-Mar-42,A York-class heavy cruiser that was sunk in the Second Battle of the Java Sea.,,1942
Friendship,28 October 1788,A First Fleet transport ship that was scuttled in Makassar Strait.,,1788
Hayanami,7-Jun-44,A Yūgumo-class destroyer that was torpedoed by USS Harder near Tawi-Tawi.,04°43′N 120°03′E,1944
Hokaze,6-Jul-44,A Minekaze-class destroyer that was sunk by USS Paddle.,03°24′N 125°28′E,1944
USS Houston,1-Mar-42,A Northampton-class heavy cruiser that was sunk in the Battle of Sunda Strait.,5°48′45″S 106°7′55″E,1942
I-60,17-Jan-42,A Kaidai-type submarine that was sunk by HMS Jupiter west of Krakatoa.,06°19′30″S 104°49′20″E,1942
Inazuma,14-May-44,A Fubuki-class destroyer that was sunk by USS Bonefish.,5°8′N 119°38′E,1944
Isonami,9-Apr-43,A Fubuki-class destroyer that was torpedoed by USS Tautog southeast of Wangiwangi Island.,5°26′S 123°4′E,1943
Isuzu,7-Apr-45,A Nagara-class light cruiser that was sunk near Bima.,07°38′S 118°09′E,1945
Itsukushima,7-Oct-44,A minelayer that was torpedoed by HNLMS Zwaardvisch off Bawean.,5°23′S 113°48′E,1944
HNLMS Java,27-Feb-42,A Java-class cruiser that was sunk by Nachi in the Battle of the Java Sea.,6°00′01″S 112°05′00″E,1942
Junyō Maru,18-Sep-44,"A ""hell ship"" that was sunk by HMS Tradewind, with over 5,000 deaths.",2°53′S 101°11′E,1944
HMS Jupiter,27-Feb-42,A J-class destroyer that hit a mine off the north coast of Java.,6°45′S 112°6′E,1942
HNLMS K VII,18-Feb-42,A K V-class submarine that was bombed by Japanese aircraft in Surabaya harbour.,,1942
HNLMS K XVIII,16-Jun-45,A K XIV-class submarine that was sunk by HMS Taciturn off Surabaya.,06°48′S 112°47′E,1945
HNLMS Kortenaer,27-Feb-42,An Admiralen-class destroyer that was torpedoed by Haguro in the Battle of the Java Sea.,6°29′S 112°05′E,1942
Lammermuir,31 December 1863,An extreme clipper that was wrecked on Amherst Reef in Gaspar Strait.,,1863
USS Langley,27-Feb-42,An aircraft carrier that was attacked by Japanese dive bombers and scuttled off Cilacap Regency.,8°51′S 109°2′E,1942
Levina 1,25-Feb-07,"A passenger ferry that caught fire on 22 February, and sank three days later with a group of journalists and investigators aboard.",,2007
USAT Liberty,11-Jan-42,"A troopship that was torpedoed by I-166 and beached at Tulamben, Bali.",8°017′03″S 115°035′021″E,1942
HMS Li Wo,14-Feb-42,An auxiliary patrol vessel that was sunk by a convoy of Japanese warships.,,1942
Memnon,September 1851,A clipper that was lost in the Gaspar Strait.,,1851
Minazuki,6-Jun-44,A Mutsuki-class destroyer that was sunk by USS Harder.,04°05′N 119°30′E,1944
Nadakaze,25-Jul-45,A Minekaze-class destroyer that was torpedoed by HMS Stubborn near Lombok Strait.,07°06′S 115°42′E,1945
Natsushio,9-Feb-42,A Kagerō-class destroyer that was torpedoed by USS S-37 near Makassar.,05°10′S 119°24′E,1942
No. 2,27-Jun-45,A No.1-class submarine chaser that was sunk by USS Blueback.,07°30′S 116°15′E,1945
Ocean,5 February 1797,An East Indiaman that struck a reef and was scuttled off Kalatea.,7°9′S 121°00′E,1797
USS Perch,3-Mar-42,A Porpoise-class submarine that took damage and was scuttled off Madura Island.,6°30′S 113°50′E,1942
HMAS Perth,1-Mar-42,A Leander-class light cruiser that was torpedoed in the Battle of Sunda Strait.,05°51′42″S 106°7′52″E,1942
USS Pope,1-Mar-42,A Clemson-class destroyer that was sunk in the Second Battle of the Java Sea.,,1942
USS S-36,21-Jan-42,An S-class submarine that ran aground on a reef and was scuttled.,4°57′N 118°31′E,1942
San Flaviano,28-Apr-58,"A British oil tanker that was bombed and sunk at Balikpapan, East Kalimantan. The attack was orchestrated by the CIA, in support of a local rebellion.",,1958
Senopati Nusantara,30-Dec-06,"A passenger ferry that sank in a storm in the Java Sea, with 400–500 dead.",,2006
Sierra Cordoba,31-Dec-41,A cargo liner that was sunk by a Japanese flying boat.,1°00′N 119°10′E,1941
KMP Tampomas II,27-Jan-81,"An Indonesian passenger ship that sank near Masalembu Island, Java Sea, with an estimated loss of 431 dead.",5°30′S 114°26′E,1981
Tōhō Maru,29-Mar-43,An oil tanker that was torpedoed by USS Gudgeon in the Makassar Strait.,00°00′N 118°19′E,1943
Tsugaru,29-Jun-44,A minelayer that was sunk by USS Darter near Tobelo.,2°19′N 127°57′E,1944
U-183,23-Apr-45,A Type IXC/40 U-boat that was sunk by USS Besugo in the Java Sea.,4°49′59″S 112°52′01″E,1945
U-537,10-Nov-44,A Type IXC/40 U-boat that was sunk in the Java Sea.,7°13′S 115°17′E,1944
HNLMS Van Ghent,15-Feb-42,An Admiralen-class destroyer that ran aground and was scuttled off Belitung.,3°05′00″S 107°21′00″E,1942
HNLMS Van Nes,17-Feb-42,An Admiralen-class destroyer that was sunk by Japanese aircraft south of Bangka Island.,3°27′S 106°38′E,1942
Admiral Nakhimov,28-May-05,An armored cruiser that was sunk off Tsushima Island.,,2005
Admiral Ushakov,28-May-05,A Russian battleship that was scuttled after taking damage at the Battle of Tsushima.,34°34′N 129°32′E,2005
Aki,7-Sep-24,"A Satsuma-class battleship that was sunk as a target near Minamibōsō, Chiba.",35°01′30″N 139°51′22″E,1924
Aoba,28-Jul-45,An Aoba-class heavy cruiser that was sunk by US aircraft at Kure.,,1945
Aoba Maru,Jun-49,"A regular route ferry between Matsuyama and Kitakyushu that capsized in Typhoon Della off Kunisaki Peninsula, Inland Sea, with at least 133 people confirmed dead.",,1949
Ariel,1917,A schooner that was wrecked off Inubōsaki Lighthouse.,,1917
USS Bates,25-May-45,A Buckley-class destroyer escort that was sunk by Japanese aircraft south of Iejima.,26°41′N 127°47′E,1945
Borodino,27-May-05,A Russian battleship that was sunk at the Battle of Tsushima.,,2005
Chishima,30 November 1892,An unprotected cruiser that collided with Ravenna off Matsuyama.,33°55′N 132°39′E,1892
Chiyoda,5-Aug-27,A protected cruiser that was sunk as a target in Bungo Channel.,32°54′32″N 132°15′00″E,1927
Dakota,3-Mar-07,An American passenger ship which struck a reef off Yokohama.,,2007
USS Emmons,6-Apr-45,A Gleaves-class destroyer that was sunk by kamikaze aircraft off Okinawa.,26°48′N 128°04′E,1945
Ertuğrul,18 September 1890,"An Ottoman frigate that foundered in bad weather and ran aground on the east coast of Kii Ōshima, while returning to Turkey after a voyage of friendship to Japan.",,1890
USS Greene,9-Oct-45,A Clemson-class destroyer that was sunk by Typhoon Louise.,,1945
I-58,1-Apr-46,A B3 type cruiser submarine that was scuttled off the Gotō Islands.,32°37′N 129°17′E,1946
I-157,1-Apr-46,"A Kaidai-type submarine that was scuttled east of Gotō, Nagasaki.",32°37′N 129°17′E,1946
Imperator Aleksandr III,27-May-05,A Russian battleship that was sunk in the Battle of Tsushima.,,2005
Kazu I,23-Apr-22,"Tour boat sank off of Shiretoko Peninsula, 10 dead and 16 missing.",,2022
Kamikaze,7-Jun-46,A Kamikaze-class destroyer that ran aground off Omaezaki.,34°38′N 138°8′E,1946
Kawachi,12-Jul-18,"A Kawachi-class battleship that capsized after an explosion caused by spontaneous ignition at Tokuyama, Yamaguchi, western Honshū.",,2018
Kiche Maru,22-Sep-12,"A Japanese passenger ship that sank in a storm with over 1,000 passengers lost.",,2012
Kitagawa Maru No.5,Apr-57,"A Japanese wooden passenger boat that capsized off Onomichi, Inland Sea, killing at least 113.",,1957
Knyaz Suvorov,27-May-05,A Russian battleship that was sunk at the Battle of Tsushima.,,2005
Lisbon Maru,2-Oct-42,A troopship and prisoner-of-war transport that was torpedoed by USS Grouper off Zhoushan.,30°13′48″N 122°45′54″E,1942
Nagara,7-Aug-44,A Nagara-class light cruiser that was torpedoed by USS Croaker off Amakusa.,32°09′N 129°53′E,1944
nankai Maru,Jan-58,"A ferry between Wakayama and Tokushima that capsized off southern Awaji Island, killing at least 167.",,1958
Nisshin,18-Jan-42,A Kasuga-class armored cruiser that was sunk as a target southwest of Kure.,34°05′N 132°53′E,1942
